fecha,firmas,ahorro,arboles,anio
30-jun-18,109627,324404.5642,91,2018
31-jul-18,497543,1472312.661,414,2018
31-ago-18,496167,1468240.848,413,2018
30-sep-18,484383,1433370.028,403,2018
31-oct-18,604492,1788792.577,503,2018
30-nov-18,554321,1640328.226,461,2018
31-dic-18,469086,1388103.655,390,2018
31-ene-19,526937,1559294.406,439,2019
28-feb-19,539295,1595863.788,449,2019
31-mar-19,513107,1518369.131,427,2019
30-abr-19,564816,1671384.68,470,2019
31-may-19,549809,1626976.466,458,2019
30-jun-19,542268,1604661.39,451,2019
31-jul-19,596911,1766359.134,497,2019
31-ago-19,526938,1559297.365,439,2019
30-sep-19,601669,1780438.849,501,2019
31-oct-19,661772,1958293.643,551,2019
30-nov-19,618494,1830226.828,515,2019
31-dic-19,570357,1687781.423,475,2019
31-ene-20,666487,1972246.114,555,2020
29-feb-20,589213,1743579.469,491,2020
31-mar-20,633438,1874448.615,527,2020
30-abr-20,506493,1498797.203,422,2020
31-may-20,559079,1654407.941,465,2020
30-jun-20,642356,1900838.463,535,2020
31-jul-20,741773,2195029.936,618,2020
31-ago-20,729061,2157413.009,607,2020
30-sep-20,845220,2501146.85,704,2020
31-oct-20,931214,2755617.428,776,2020
30-nov-20,996648,2949247.54,830,2020
31-dic-20,1096214,3243879.928,913,2020
31-ene-21,928595,2747867.371,773,2021
28-feb-21,970063,2870578.094,808,2021
31-mar-21,1325870,3923470.308,1104,2021
30-abr-21,1267676,3751264.563,1056,2021
31-may-21,1273750,3769238.542,1061,2021
30-jun-21,1343471,3975554.601,1119,2021
31-jul-21,1367939,4047959.491,1139,2021
31-ago-21,1320113,3906434.386,1100,2021
30-sep-21,1411824,4177822.52,1176,2021
31-oct-21,1394207,4125690.881,1161,2021
30-nov-21,1309646,3875460.788,1091,2021
31-dic-21,1369351,4052137.834,1141,2021
31-ene-22,1238200,3664040.167,1031,2022
28-feb-22,1323640,3916871.367,1103,2022
31-mar-22,1546739,4577058.491,1288,2022
30-abr-22,1442619,4268950.058,1202,2022
31-may-22,1426530,4221340.025,1188,2022
30-jun-22,1485272,4395167.393,1237,2022
31-jul-22,1458493,4315923.869,1215,2022
31-ago-22,1564738,4630320.532,1303,2022
30-sep-22,1540763,4559374.511,1283,2022
31-oct-22,1500670,4440732.642,1250,2022
30-nov-22,1503397,4448802.289,1252,2022
31-dic-22,1433984,4243397.653,1194,2022
31-ene-23,1338185,3959912.446,1115,2023
28-feb-23,1339015,3962368.554,1115,2023
31-mar-23,1740997,5151900.289,1450,2023
30-abr-23,1542693,4565085.703,1285,2023
31-may-23,1633012,4832354.677,1360,2023
30-jun-23,1730059,5119532.924,1441,2023
31-jul-23,1699878,5030222.315,1416,2023
31-ago-23,1760751,5210355.668,1467,2023
30-sep-23,1726472,5108918.393,1438,2023
31-oct-23,1773514,5248123.512,1477,2023
30-nov-23,1705320,5046326.1,1421,2023
21-dic-23,1591996,4710981.497,1326,2023
31-ene-24,1769629,5236627.149,1474,2024
29-feb-24,1744346,5161810.538,1453,2024
31-mar-24,1835150,5430514.708,1529,2024
30-abr-24,1922456,5688867.713,1602,2024
31-may-24,1978220,5853882.683,1648,2024
30-jun-24,1996239,5907203.908,1663,2024
31-jul-24,2237371,6620753.684,1864,2024
31-ago-24,2063394,6105926.745,1719,2024
30-sep-24,2074026,6137388.605,1728,2024
31-oct-24,2099638,6213178.782,1749,2024
30-nov-24,2057026,6087082.772,1714,2024
31-dic-24,1964183,5812344.861,1636,2024
31-ene-25,2063598,6106530.415,1719,2025
28-feb-25,2180121,6451341.393,1816,2025
31-mar-25,2137830,6326195.275,1781,2025
30-abr-25,2283806,6758162.588,1903,2025
31-may-25,2301306,6809948.005,1917,2025
30-jun-25,2392832,7080788.693,1994,2025
31-jul-25,2664213,7883850.303,2220,2025
31-ago-25,2488276,7363223.397,2073,2025
30-sep-25,2574420,7618137.85,2145,2025
31-oct-25,2600871,7696410.768,2167,2025
30-nov-25,2360226,6984302.105,1966,2025
31-dic-25,2507478,7420045.315,2089,2025
31-ene-26,2458202,7274229.418,2048,2026
